"Type","Category","Message"
"normal","Education","Hey, don’t miss the lecture tomorrow at 10 AM. It’s super important for the finals!"
"normal","Work Update","Hey, just a heads-up, the weekly meeting is now at 3 PM tomorrow. See you there!"
"fraud","Loan Scam","Urgent! Get loan of Rs. 10 lakhs today. Limited offer! Click now: http://fast.loan-approve.indiafin.co or call 9876543210. Don’t miss out!"
"fraud","Impersonation","Hi, this is John from HR. Urgent: Verify your payroll details now at http://secure.payroll-check.org or risk payment delay. Call 1-800-555-1234 ASAP."
"fraud","Job Offer Scam","URGENT! Earn $800/day with our remote job offer. No experience needed. Apply now or miss out: http://quickhire.jobsoffer24.com Call 1-800-555-0123!"
"normal","Recreation","Hey, wanna join me for a bike ride along the lake this Sunday? Should be fun!"
"normal","Travel","Hey, just booked our tickets to Bali for next week! Super excited. Let me know if you wanna add anything to the plan."
"fraud","Tech Support Scam","Urgent! Your device is at risk of a virus. Call Tech Support now at 1-800-555-0123 or visit http://fixmyphone-tech.com to secure it before it's too late!"
"fraud","Tech Support Scam","Urgent! Your device is at risk of malware. Call Tech Support now at 1-800-555-0192 or visit http://fixmydevice-tech.com to secure it! Act fast!"
"fraud","Impersonation","Hi, it’s John from HR. Urgent: Verify your payroll details now to avoid payment delay. Click: http://verify.employeeportal.net or call 1-800-555-0123."
"fraud","Loan Scam","Urgent! Get Rs. 10 lakh loan instantly. Limited offer! Click now: http://fastcash.loan-secure.in or call 9876543210. Don’t miss out!"
"fraud","Fake Delivery Scam","Urgent! Your FedEx package delivery failed due to unpaid fees. Pay $3.50 now at http://fedex-securepay.net or call 1-800-555-0123 to avoid return!"
"fraud","Lottery Scam","Congrats! You've won Rs. 5 lakhs in our lottery! Claim now before it's gone: http://win.lottery-prize.org or call 9876543210. Hurry, time's running out!"
"fraud","Service Fraud","Urgent: Your bank account is at risk! Verify now to avoid suspension: http://secure.indbank-check.com or call 1800-555-0123 immediately!"
"fraud","Job Offer Scam","URGENT! Earn $400/day from home. No skills needed. Limited spots! Apply now at http://quickhire.jobsfast.org or call 1-800-555-0123. Hurry!"
"normal","Family","Hey fam, dinner at my place tonight at 6. Bring dessert if you can! Love ya!"
"fraud","Subscription Scam","Your Prime subscription is expiring today! Renew now for just $9.99 or lose access. Click: http://renew.prime-membership.org Urgent!"
"normal","Delivery Update","Hey, your order is on its way! Expect delivery by tomorrow evening. Thanks for choosing us!"
"normal","Recreation","Hey, wanna join me for a bike ride this Sunday? Found an awesome route nearby!"
"fraud","Fake Delivery Scam","Urgent: Your FedEx package is on hold due to a missing fee. Pay $3.50 now to avoid cancellation: http://fedex-securepay.org or call 1-800-555-0123!"
"fraud","Loan Scam","Urgent! Get a loan of Rs. 10 lakhs instantly. Limited offer! Click now: http://fast.loan-secure.indiafunds.net or call 9876543210. Don’t miss out!"
"fraud","Investment Scams","Urgent! Invest now & triple your money in 3 days! Limited spots. Click http://fastwealth-invest.com or call 1-800-555-0123 to secure your future! Hurry!"
"fraud","Identity Theft","Urgent! Your bank account is at risk. Verify your identity now at http://secure.bankid-check.com or call 1800-555-1234. Act fast to avoid closure!"
"fraud","Impersonation","Urgent: This is your bank. Unusual activity detected on your account. Secure it now at http://verify.sbi-accountsafe.com or call 1800-555-0123 ASAP!"
"normal","Delivery Update","Hey, your package is on its way! Expect delivery by tomorrow evening. Thanks for choosing us!"
"fraud","Lottery Scam","Congrats! You've won Rs. 5 lakhs in our lottery! Claim now before it’s gone: http://win.lottery-prize.org or call 9876543210. Hurry, limited time!"
"normal","Education","Hey, the lecture is rescheduled to tomorrow at 2 PM. See you there!"
"fraud","Tech Support Scam","Urgent! Your device is at risk of a virus. Call Tech Support now at 1-800-555-0192 or visit http://fixmydevice-tech.com to secure it before data loss!"
"fraud","Fake Delivery Scam","Urgent: Your package delivery failed due to address error. Update now at http://verify.postal-track.org or call 1-800-555-0123 to avoid return!"
"fraud","Subscription Scam","Your Hulu subscription is expiring today! Renew now for just $9.99 or lose access. Click http://hulu-renewal-secure.com to avoid cancellation!"
"normal","Delivery Update","Hey, your package is on its way! Expect delivery by tomorrow. Thanks for choosing us!"
"fraud","Financial Fraud","Urgent: Your account shows a suspicious charge of $750. Secure it now at http://verify.sbi-protect.com or call 1-800-555-0123 immediately!"
"fraud","Loan Scam","Urgent! Get a loan of Rs. 10 lakhs today. Limited offer! Click now: http://fast.loan-approval.india-secure.in or call 9876543210. Don’t miss out!"
"normal","Family","Hey fam, movie night at my place this Friday. Bring snacks! See ya there."
"normal","Social","Hey, wanna grab lunch tomorrow? Thinking around noon if you’re free!"
"fraud","Phishing","Urgent: Your SBI account is at risk! Verify your identity now at http://secure.sbi-check.in or call 1800-555-1234. Don’t lose access!"
"normal","Travel","Hey, just booked our tickets to Bali for next week! Super excited. Let me know if you’ve got any plans or ideas."
"normal","Sports","Hey, did you catch the football match last night? That last goal was insane!"
"fraud","Job Offer Scam","URGENT! Earn $800/day with our remote job offer. No skills needed. Apply now at http://quickhire.workfast.org or call 1-800-555-0199. Hurry, spots limited!"
"normal","Education","Hey, let’s meet up to review for the quiz this Friday. Bring your notes!"
"fraud","Fake Delivery Scam","Urgent: Your package delivery failed due to address error. Update now at http://delivery.post-trackfix.com or call 1-800-555-1234 to avoid return!"
"fraud","Investment Scams","Urgent! Invest now and triple your money in days! Limited spots. Click http://fastprofit-invest.com or call 1800-555-0123 to secure your future!"
"normal","Family","Hey fam, let’s catch up this weekend at my place. See you around 6 PM! Love ya!"
"fraud","Service Fraud","Urgent! Your phone service is at risk of suspension. Verify now to avoid disruption: http://secure.mobileverify.net or call 1800-555-0123 immediately!"
"fraud","Financial Fraud","URGENT: Your account has a suspicious charge of $350. Verify now to avoid closure: http://secure.bank-check24.com or call 1-800-555-0123 immediately!"
"normal","Delivery Update","Hey, your package from Amazon is on its way! Expect delivery by tomorrow evening. Thanks for choosing us!"
"fraud","Emotional Manipulation","Grandma, it’s me. I’m in trouble after a car crash. Need Rs. 10,000 urgently for hospital bills. Please send via http://helpfamilycare.org now!"
"normal","Education","Hey, just a reminder that the library session is on tomorrow at 3 PM. See you there!"
"normal","Service Inquiry","Hey, can you tell me if you provide home delivery for orders? Thanks!"
"normal","Family","Hey fam, let’s plan a movie night this weekend! Thoughts?"
"normal","Education","Hey, just a heads-up, the lecture notes are uploaded on the portal. Check them out before class tomorrow!"
"fraud","Subscription Scam","Urgent! Your Netflix subscription is expiring today. Renew now for $9.99 or lose access. Click: http://netflix-renewal-secure.org or call 1-800-555-0123."
"fraud","Fake Delivery Scam","UPS: Urgent! Your package delivery failed due to unpaid fees. Pay $3.50 now to avoid return: http://ups-securepay.net or call 1-800-555-0123. Hurry!"
"fraud","Job Offer Scam","URGENT JOB OFFER! Earn $400/day from home. No skills needed. Apply now at http://quickhire.workfromhome.today or call 1-800-555-0123. Hurry!"
"normal","Recreation","Hey, wanna join me for a bike ride this Sunday? Found an awesome route by the lake!"
"fraud","Financial Fraud","URGENT: Your account has a suspicious charge of $750. Verify now to avoid closure at http://secure.bank-alerts.net or call 1-800-555-0123 immediately!"
"fraud","Tech Support Scam","Urgent: Your device is at risk! Fix virus now by clicking http://techsafe-support247.com or call 1-800-555-0123. Act fast to save your data!"
"normal","Service Inquiry","Hey, just wanted to check if you provide home delivery for orders? Let me know! Thanks!"
"normal","Family","Hey fam, let’s catch up over pizza this Friday. My treat! Love ya!"
"normal","Family","Hey fam, let’s catch up this weekend! Miss you all."
"fraud","Identity Theft","Urgent! Your bank account is at risk. Verify your identity now at http://secure.indbank-check.com or call 1800-555-1234. Act fast to avoid suspension!"
"fraud","Identity Theft","Urgent! Your bank account is at risk. Verify your identity now at http://secure.bank-auth.in or call 1800-555-1234. Act fast to avoid suspension!"
"fraud","Subscription Scam","Urgent! Your Spotify subscription is expiring today. Renew now for just $9.99 or lose access: http://spotify-renewal.live Call 1-800-555-1234 if issues."
"fraud","Service Fraud","Urgent! Your bank account is at risk. Verify now to avoid suspension: http://secure.indbank-check.com or call 1800-555-1234 immediately!"
"normal","Social","Hey, wanna grab lunch tomorrow? I’m free around noon if that works for you!"
"normal","Entertainment","Hey, the new action movie is out this weekend! Wanna catch it together?"
"fraud","Financial Fraud","URGENT: Your account has a suspicious charge of $750. Verify now to avoid closure at http://secure.bank-alerts.com or call 1-800-555-0123 immediately!"
"fraud","Investment Scams","Urgent! Double your investment in 48 hrs. Don’t miss out! Click now: http://invest.quick-profit.org or call 1-800-555-0123. Act fast!"
"fraud","Lottery Scam","Congrats! You've won Rs. 5 lakhs in our Mega Lottery! Claim now before it expires: http://win.lottery-rewards.org or call 9876543210. Hurry!"
"normal","Family","Hey fam, let’s plan a movie night this Friday. What do ya think?"
"fraud","Loan Scam","Urgent! Get a loan of Rs. 10 lakhs today. Limited offer! Click now: http://fastloan.sbi-secure.in or call 9876543210. Don’t miss out!"
"normal","Education","Hey, don’t forget the project deadline is tomorrow. Let’s finish strong!"
"normal","Service Inquiry","Hi, do you provide home delivery for orders? I’d like to place one if possible. Thanks!"
"normal","Entertainment","Hey, the new season of [Show Name] just dropped! Wanna binge it this weekend? Let me know!"
"fraud","Lottery Scam","Congrats! You've won Rs. 5 lakhs in our lottery! Claim now before it expires: http://claim.lottery-prize.org or call 9876543210. Hurry!"
"fraud","Investment Scams","Urgent! Invest now to triple your savings in 5 days! Limited slots. Click http://fastwealth-grow.com or call 1800-555-1234 to secure your spot!"
"fraud","Financial Fraud","URGENT: Suspicious activity detected on your account. Secure it now at http://verify.sbi-safeaccess.com or call 1-800-555-0123 immediately!"
"fraud","Job Offer Scam","URGENT! Earn $400/day from home. No skills needed. Limited spots! Apply now at http://quickhire.workfast.org or call 1-800-555-0123. Hurry!"
"fraud","Service Fraud","Urgent! Your bank account is at risk. Verify now to avoid suspension: http://secure.bankverify-india.com or call 1800-555-1234 immediately!"
"normal","Social","Hey, saw your latest pic on Insta, looks amazing! Let’s grab coffee this week. Free on Friday?"
"fraud","Phishing","SBI Alert: Suspicious login detected on your account! Verify immediately to avoid suspension: http://secure.sbi-check24.com or call 1800-555-1234 now!"
"fraud","Loan Scam","Urgent! Get a loan of Rs. 10 lakhs instantly. Limited offer! Click now: http://fastloan.sbi-secure.in or call 9876543210. Hurry, don’t miss out!"
"fraud","Phishing","Urgent! Your HDFC account is at risk. Verify now to avoid suspension: http://secure.hdfc-check.in or call 1800-123-4567 immediately!"
"normal","Entertainment","Hey, have you seen the trailer for the new action movie? Looks epic! Wanna catch it this weekend?"
"fraud","Investment Scams","Urgent! Invest now & triple your money in 3 days with our exclusive plan! Call 1800-555-0123 or visit http://fastwealth-invest.com to secure your spot!"
"normal","Education","Hey, reminder to submit your project by Friday. Let’s ace this together!"
"fraud","Investment Scams","Urgent! Double your investment in 48 hours with our exclusive crypto plan. Don’t miss out! Click now: http://fastprofit-inv.com Call: 9876543210"
"normal","Delivery Update","Hey, your package is out for delivery! Expect it to arrive by 6 PM today. Thanks for choosing us!"
"fraud","Fake Delivery Scam","Urgent! Your package delivery failed due to an address error. Update now at http://verify.postal-fix.com or call 1-800-555-0123 to avoid return!"
"fraud","Loan Scam","Urgent! Get loan up to Rs. 10 lakhs today. Limited slots! Click to apply: http://fast.loan-secure.in or call 9876543210. Don’t miss out!"
"fraud","Tech Support Scam","Urgent! Your device is at risk of a virus. Secure it now at http://techsafe-guardian.com or call 1-800-555-0192 immediately to avoid data loss!"
"fraud","Financial Fraud","Urgent! Your account has a refund of $75 waiting. Claim now at http://secure-refund.sbi-claim.org or risk losing it. Call 1-800-555-0123 if issues."
"fraud","Identity Theft","Urgent! Your identity is at risk. Verify your details now at http://secure.id-protect.in or call 1800-555-1234 to avoid account suspension!"
"normal","Recreation","Hey, wanna join me for a bike ride this Sunday? Found a cool route by the lake!"
"normal","Work Update","Hey team, the weekly update meeting is now at 4 PM today. See you there!"
"normal","Delivery Update","Hey, your order is out for delivery! Expect it to arrive by end of day. Thanks for choosing us!"
"fraud","Service Fraud","Urgent! Your bank account is at risk. Verify now to avoid suspension: http://secure.indbank-check.com or call 1800-555-0123 immediately!"
