"Type","Category","Message"
"fraud","Emotional Manipulation","Hi Dad, I’m in a crisis! Got arrested by mistake. Need Rs. 8,000 for bail. Pay now at http://urgentbail-help.com. Please save me!"
"fraud","Financial Fraud","Warning: Suspicious login attempt on your bank account. Verify identity at http://trustbank-check.com now!"
"fraud","Subscription Scam","Your Apple Music payment was declined. Update urgently to keep listening: http://applemusic-updatepay.co"
"normal","Social","Hey, loved your latest TikTok vid! So funny!"
"fraud","Tech Support Scam","Emergency! Your phone is at risk. Visit http://safe-techguard.com to fix it before it’s too late!"
"normal","Social","Are you joining us for the game night tomorrow?"
"normal","Service Inquiry","Hey, is my subscription renewal due this month? Pls confirm."
"normal","Delivery Update","Hi, your parcel is on the way! Look out for it by tomorrow afternoon."
"fraud","Financial Fraud","Urgent: Your card was used for a $500 purchase. Confirm it wasn’t you at http://verifycard-now.com immediately!"
"fraud","Emotional Manipulation","Hey Sis, I’m in deep trouble after a flood. Lost everything. Send Rs. 5,000 via http://disaster-reliefnow.com. I’m counting on you!"
"fraud","Impersonation","Hey, it’s Sarah from IT. Your account is compromised. Reset password immediately at http://company-login-fix.com or risk suspension."
"fraud","Fake Delivery Scam","Missed Delivery! Your package is waiting. Click to reschedule: http://retry-delivery.org/now"
"normal","Travel","Just booked a cute Airbnb in Shimla for our winter vacay!"
"normal","Entertainment","Yo, there’s a new comedy special on Netflix tonight. Wanna watch together?"
"fraud","Impersonation","This is Social Security. Your benefits are suspended. Reactivate at http://ssn-secure-claim.com or face legal action."
"fraud","Phishing","Warning! Your Flipkart order is on hold. Update payment at http://flipkart-pay-secure.com or risk cancellation!"
"normal","Work Update","Hey, don’t forget to review the new guidelines before the meeting."
"normal","Education","Yo, the test got pushed to Friday. More time to study!"
"fraud","Impersonation","Urgent: Amazon order issue. Your package is delayed. Confirm details at http://amazon-order-resolve.com to avoid cancellation."
"fraud","Investment Scams","Don’t miss out! Triple your money in 72 hours with our VIP plan! Visit: http://elitegain-hub.com"
"fraud","Investment Scams","Urgent! Secure 1000% returns on crypto in 5 days! Don’t wait, click now: http://cryptorush-gain.com"
"fraud","Subscription Scam","Urgent: Your Netflix subscription is about to expire. Renew now to avoid interruption: http://netflix-securepay.org"
"fraud","Lottery Scam","Hurry! You've won Rs. 8 lakhs in our Lucky Draw! Secure it now at http://winclaim.lotterypro.net before it’s gone!"
"fraud","Emotional Manipulation","Uncle, it’s me. I’m stranded after a car breakdown. Need Rs. 3,000 fast. Transfer to http://roadside-aid247.com. Please don’t let me down!"
"normal","Travel","Hey, our flight to Tokyo is booked for Friday! Can’t wait to explore!"
"normal","Entertainment","Hi, did you see the trailer for the new sci-fi flick? Looks insane!"
"fraud","Job Offer Scam","Exciting offer! Work from home, earn $4,000/month. Limited slots! Apply: http://topjobfast.club"
"fraud","Job Offer Scam","JOB ALERT! Make $3,000/month from home. Act fast, spots filling up: http://homeworkpro.net"
"normal","Service Inquiry","Can you send me the latest price list for your services?"
"normal","Recreation","Have you been to the new bowling alley downtown? Let’s check it out tonight."
"normal","Entertainment","Hi, just found an epic playlist on Spotify. Check it out later!"
"normal","Work Update","Just a reminder, the client call is at 2 PM today. Be ready!"
"fraud","Job Offer Scam","Work-from-home opportunity! $1,000/week guaranteed. Apply before it’s gone: http://quickjobsecure.info"
"fraud","Lottery Scam","Urgent! You’ve won Rs. 7 lakhs in our Prize Draw! Don’t miss out, claim at http://lotterywin.nowclaim.net today!"
"normal","Sports","Game on! Our hockey team made it to the playoffs!"
"fraud","Investment Scams","Become a millionaire in 30 days! Start with $100. Click here: http://dreamwealth-build.com"
"normal","Work Update","Hey, the training session is now at 3 PM instead of 1 PM today."
"fraud","Loan Scam","Immediate! Rs. 5 lakh loan offer expiring soon. Click now: http://easyfunds.lendtoday.in or regret later!"
"normal","Social","Hey, I’m in town tomorrow. Coffee at 2 PM?"
"normal","Education","Reminder: Library closes at 6 PM today. Don’t miss out!"
"normal","Sports","Hey, there’s a local swim meet next month. Thinking of joining!"
"fraud","Loan Scam","Alert! Rs. 2 lakh loan approved for you. Act fast! Apply at: http://easyloan.safecash.in or call 9123456789."
"normal","Service Inquiry","Hey, do you have any discounts for first-time customers?"
"fraud","Service Fraud","Alert! Your phone line will be cut off tonight. Pay urgently at http://secure.telcoconfirm.com to prevent this!"
"normal","Sports","Just scored tickets to the basketball finals! You in?"
"normal","Work Update","Hey, project review is set for Thursday at 11 AM. Mark it!"
"normal","Recreation","Hey, let’s play some badminton at the court this Saturday morning."
"normal","Recreation","Hey, I’m planning a picnic at the riverside this weekend. Come along!"
"normal","Delivery Update","Good news! Your package has been delivered. Hope you love it!"
"fraud","Tech Support Scam","Urgent! Malware found on your phone. Call 1-800-222-3333 immediately to protect your info!"
"fraud","Fake Delivery Scam","FedEx Warning: Package on hold due to unpaid $1.50 fee. Pay now: http://fedex-quickpay.info"
"fraud","Service Fraud","Alert! Your internet service is expiring today. Pay immediately at http://fastpay.netsecurelink.com to avoid cutoff!"
"normal","Social","What’s up? Haven’t heard from you in a while!"
"normal","Service Inquiry","What’s the cost for a basic maintenance check?"
"normal","Recreation","Hey, I’m heading to the skate park later. Join me if you’re free!"
"fraud","Subscription Scam","Emergency: Your Hulu account is locked due to payment issues. Fix it here: http://hulu-unlockacc.net"
"fraud","Tech Support Scam","Critical! Device infection found. Call 1-877-555-9876 now to avoid permanent damage to your files!"
"normal","Sports","Yo, let’s watch the football match at my place tonight. Bring snacks!"
"normal","Service Inquiry","Can I book a service slot for next Monday morning?"
"normal","Travel","Yo, I’m on my way to the airport. Flight to Dubai leaves in 2 hours."
"normal","Sports","Dude, our volleyball team needs one more player for Saturday. Join us?"
"fraud","Fake Delivery Scam","UPS Alert: Package delivery failed due to incomplete address. Update ASAP: http://ups-fixaddress.net"
